
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
 Dallas, TX                   | Dallas, TX         | Denver, CO                | Republic Airlines                                       |    210
 Dallas, TX                   | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |   1000
 Dallas, TX                   | Dallas, TX         | Denver, CO                | Southwest Airlines Co.                                  |  56236
 Dallas, TX                   | Dallas, TX         | Denver, CO                | Spirit Air Lines                                        |   5220
 Dallas, TX                   | Dallas, TX         | Denver, CO                | United Air Lines Inc.                                   |  33160
 Dallas, TX                   | Dallas, TX         | Durango, CO               | Mesa Airlines Inc.                                      |  11264
 Dallas, TX                   | Dallas, TX         | Eagle, CO                 | American Airlines Inc.                                  |   5249
 Dallas, TX                   | Dallas, TX         | Grand Junction, CO        | Envoy Air                                               |  15400
 Dallas, TX                   | Dallas, TX         | Montrose/Delta, CO        | Envoy Air                                               |     50
 Dallas, TX                   | Dallas, TX         | Montrose/Delta, CO        | Mesa Airlines Inc.                                      |   5220
 Dallas/Fort Worth, TX        | Dallas, TX         | Aspen, CO                 | SkyWest Airlines Inc.                                   |   1450
 Dallas/Fort Worth, TX        | Dallas, TX         | Colorado Springs, CO      | American Airlines Inc.                                  |  16380
 Dallas/Fort Worth, TX        | Dallas, TX         | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |     76
 Dallas/Fort Worth, TX        | Dallas, TX         | Colorado Springs, CO      | Southwest Airlines Co.                                  |    286
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | American Airlines Inc.                                  |  37025
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | Federal Express Corporation                             |   2850
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | Frontier Airlines Inc.                                  |   4500
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    280
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | Republic Airlines                                       |    210
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |   1000
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | Southwest Airlines Co.                                  |  56236
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | Spirit Air Lines                                        |   5220
 Dallas/Fort Worth, TX        | Dallas, TX         | Denver, CO                | United Air Lines Inc.                                   |  33160
 Dallas/Fort Worth, TX        | Dallas, TX         | Durango, CO               | Mesa Airlines Inc.                                      |  11264
 Dallas/Fort Worth, TX        | Dallas, TX         | Eagle, CO                 | American Airlines Inc.                                  |   5249
 Dallas/Fort Worth, TX        | Dallas, TX         | Grand Junction, CO        | Envoy Air                                               |  15400
 Dallas/Fort Worth, TX        | Dallas, TX         | Montrose/Delta, CO        | Envoy Air                                               |     50
 Dallas/Fort Worth, TX        | Dallas, TX         | Montrose/Delta, CO        | Mesa Airlines Inc.                                      |   5220
 Dayton, OH                   | Columbus, OH       | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   6480
 Dayton, OH                   | Columbus, OH       | Denver, CO                | SkyWest Airlines Inc.                                   |   1380
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | Frontier Airlines Inc.                                  |   5100
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    140
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | Republic Airlines                                       |   2700
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | SkyWest Airlines Inc.                                   |   1966
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | Tradewind Aviation                                      |      8
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | Trans States Airlines                                   |    900
 Des Moines, IA               | Des Moines, IA     | Denver, CO                | United Air Lines Inc.                                   |  20868
 Detroit, MI                  | Detroit, MI        | Denver, CO                | Delta Air Lines Inc.                                    |  17188
 Detroit, MI                  | Detroit, MI        | Denver, CO                | Frontier Airlines Inc.                                  |   5955
 Detroit, MI                  | Detroit, MI        | Denver, CO                | Southwest Airlines Co.                                  |  18828
 Detroit, MI                  | Detroit, MI        | Denver, CO                | Spirit Air Lines                                        |   5220
 Detroit, MI                  | Detroit, MI        | Denver, CO                | United Air Lines Inc.                                   |  22694
 Devils Lake, ND              | Dickinson, ND      | Denver, CO                | SkyWest Airlines Inc.                                   |   1672
 Dickinson, ND                | Dickinson, ND      | Denver, CO                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |     50
 Dickinson, ND                | Dickinson, ND      | Denver, CO                | Trans States Airlines                                   |   2600
 Dodge City, KS               | Dodge City, KS     | Denver, CO                | Peninsula Airways Inc.                                  |    570
 El Paso, TX                  | Dallas, TX         | Denver, CO                | Republic Airlines                                       |    280
 El Paso, TX                  | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |   5422
 El Paso, TX                  | Dallas, TX         | Denver, CO                | Trans States Airlines                                   |   2520
 Eugene, OR                   | Medford, OR        | Denver, CO                | SkyWest Airlines Inc.                                   |   2400
 Eugene, OR                   | Medford, OR        | Denver, CO                | United Air Lines Inc.                                   |   8206
 Fargo, ND                    | Dickinson, ND      | Denver, CO                | SkyWest Airlines Inc.                                   |  13300
 Fargo, ND                    | Dickinson, ND      | Denver, CO                | Trans States Airlines                                   |   1650
 Farmington, NM               | Albuquerque, NM    | Denver, CO                | Great Lakes Airlines                                    |   2300
 Farmington, NM               | Albuquerque, NM    | Durango, CO               | Empire Airlines Inc.                                    |      0
 Farmington, NM               | Albuquerque, NM    | Durango, CO               | Federal Express Corporation                             |      0
 Fayetteville, AR             | Little Rock, AR    | Denver, CO                | Republic Airlines                                       |    210
 Fayetteville, AR             | Little Rock, AR    | Denver, CO                | SkyWest Airlines Inc.                                   |   1952
 Fayetteville, AR             | Little Rock, AR    | Denver, CO                | Trans States Airlines                                   |    750
 Fort Lauderdale, FL          | Orlando, FL        | Denver, CO                | American Airlines Inc.                                  |  14080
 Fort Lauderdale, FL          | Orlando, FL        | Denver, CO                | Frontier Airlines Inc.                                  |   6900
 Fort Lauderdale, FL          | Orlando, FL        | Denver, CO                | Southwest Airlines Co.                                  |  11726
 Fort Lauderdale, FL          | Orlando, FL        | Denver, CO                | Spirit Air Lines                                        |   6384
 Fort Lauderdale, FL          | Orlando, FL        | Denver, CO                | United Air Lines Inc.                                   |  25050
 Fort Myers, FL               | Orlando, FL        | Denver, CO                | Southwest Airlines Co.                                  |    286
 Fresno, CA                   | Long Beach, CA     | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |    152
 Fresno, CA                   | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |   9076
 Fresno, CA                   | Long Beach, CA     | Grand Junction, CO        | Federal Express Corporation                             |   1716
 Gadsden, AL                  | Gadsden, AL        | Pueblo, CO                | USA Jet Airlines Inc.                                   |      0
 Gillette, WY                 | Casper, WY         | Denver, CO                | SkyWest Airlines Inc.                                   |   2800
 Grand Rapids, MI             | Detroit, MI        | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |     70
 Grand Rapids, MI             | Detroit, MI        | Denver, CO                | SkyWest Airlines Inc.                                   |   1750
 Grand Rapids, MI             | Detroit, MI        | Denver, CO                | Southwest Airlines Co.                                  |  10436
 Grand Rapids, MI             | Detroit, MI        | Denver, CO                | Trans States Airlines                                   |     50
 Grand Rapids, MI             | Detroit, MI        | Denver, CO                | United Air Lines Inc.                                   |   8118
 Great Falls, MT              | Missoula, MT       | Denver, CO                | SkyWest Airlines Inc.                                   |   3390
 Great Falls, MT              | Missoula, MT       | Denver, CO                | Trans States Airlines                                   |      0
 Greensboro/High Point, NC    | CONCORD, NC        | Denver, CO                | Frontier Airlines Inc.                                  |   1950
 Hartford, CT                 | Hartford, CT       | Denver, CO                | Miami Air International                                 |    173
 Hartford, CT                 | Hartford, CT       | Denver, CO                | Southwest Airlines Co.                                  |   8580
 Hartford, CT                 | Hartford, CT       | Denver, CO                | United Air Lines Inc.                                   |   4220
 Hays, KS                     | Dodge City, KS     | Denver, CO                | SkyWest Airlines Inc.                                   |   2600
 Helena, MT                   | Missoula, MT       | Denver, CO                | SkyWest Airlines Inc.                                   |   1500
 Honolulu, HI                 | Lihue, HI          | Denver, CO                | United Air Lines Inc.                                   |  10740
 Houston, TX                  | Dallas, TX         | Aspen, CO                 | SkyWest Airlines Inc.                                   |   1200
 Houston, TX                  | Dallas, TX         | Colorado Springs, CO      | ExpressJet Airlines Inc.                                |   6864
 Houston, TX                  | Dallas, TX         | Colorado Springs, CO      | Republic Airlines                                       |   1430
 Houston, TX                  | Dallas, TX         | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |   1500
 Houston, TX                  | Dallas, TX         | Denver, CO                | ExpressJet Airlines Inc.                                |     50
 Houston, TX                  | Dallas, TX         | Denver, CO                | Frontier Airlines Inc.                                  |  13750
 Houston, TX                  | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |     50
 Houston, TX                  | Dallas, TX         | Denver, CO                | Southwest Airlines Co.                                  |  35800
 Houston, TX                  | Dallas, TX         | Denver, CO                | Spirit Air Lines                                        |   6529
 Houston, TX                  | Dallas, TX         | Denver, CO                | United Air Lines Inc.                                   |  76182
 Houston, TX                  | Dallas, TX         | Gunnison, CO              | ExpressJet Airlines Inc.                                |     50
 Houston, TX                  | Dallas, TX         | Montrose/Delta, CO        | ExpressJet Airlines Inc.                                |   1100
 Huntsville, AL               | Gadsden, AL        | Denver, CO                | Trans States Airlines                                   |   1500
 Idaho Falls, ID              | Boise, ID          | Denver, CO                | SkyWest Airlines Inc.                                   |  12298
 Indianapolis, IN             | Indianapolis, IN   | Denver, CO                | Federal Express Corporation                             |      0
 Indianapolis, IN             | Indianapolis, IN   | Denver, CO                | Frontier Airlines Inc.                                  |   4770
 Indianapolis, IN             | Indianapolis, IN   | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    350
 Indianapolis, IN             | Indianapolis, IN   | Denver, CO                | Republic Airlines                                       |   4719
 Indianapolis, IN             | Indianapolis, IN   | Denver, CO                | Southwest Airlines Co.                                  |  32894
 Indianapolis, IN             | Indianapolis, IN   | Denver, CO                | United Air Lines Inc.                                   |  16716
 Jackson, WY                  | Casper, WY         | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   3430
 Jackson, WY                  | Casper, WY         | Denver, CO                | SkyWest Airlines Inc.                                   |     70
 Jackson, WY                  | Casper, WY         | Denver, CO                | United Air Lines Inc.                                   |  13736
 Jacksonville, FL             | Orlando, FL        | Denver, CO                | Southwest Airlines Co.                                  |   8964
 Jamestown, ND                | Dickinson, ND      | Denver, CO                | SkyWest Airlines Inc.                                   |   2100
 Kahului, HI                  | Lihue, HI          | Denver, CO                | United Air Lines Inc.                                   |   8112
 Kalispell, MT                | Missoula, MT       | Denver, CO                | SkyWest Airlines Inc.                                   |   1050
 Kalispell, MT                | Missoula, MT       | Denver, CO                | United Air Lines Inc.                                   |  11928
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | Federal Express Corporation                             |      0
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | Frontier Airlines Inc.                                  |   5940
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   6267
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | Republic Airlines                                       |   1330
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | SkyWest Airlines Inc.                                   |   2378
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | Southwest Airlines Co.                                  |  29794
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | Trans States Airlines                                   |    150
 Kansas City, MO              | St. Louis, MO      | Denver, CO                | United Air Lines Inc.                                   |   9596
 Kearney, NE                  | Scottsbluff, NE    | Denver, CO                | Peninsula Airways Inc.                                  |   1680
 Knoxville, TN                | Knoxville, TN      | Denver, CO                | Frontier Airlines Inc.                                  |   2580
 Knoxville, TN                | Knoxville, TN      | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    490
 Knoxville, TN                | Knoxville, TN      | Denver, CO                | Trans States Airlines                                   |   1150
 Kona, HI                     | Lihue, HI          | Denver, CO                | United Air Lines Inc.                                   |   6144
 Laramie, WY                  | Casper, WY         | Denver, CO                | SkyWest Airlines Inc.                                   |   3646
 Las Vegas, NV                | Las Vegas, NV      | Colorado Springs, CO      | Allegiant Air                                           |   1619
 Las Vegas, NV                | Las Vegas, NV      | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   3750
 Las Vegas, NV                | Las Vegas, NV      | Denver, CO                | Frontier Airlines Inc.                                  |  19980
 Las Vegas, NV                | Las Vegas, NV      | Denver, CO                | Southwest Airlines Co.                                  |  73702
 Las Vegas, NV                | Las Vegas, NV      | Denver, CO                | Spirit Air Lines                                        |  10800
 Las Vegas, NV                | Las Vegas, NV      | Denver, CO                | United Air Lines Inc.                                   |  39224
 Las Vegas, NV                | Las Vegas, NV      | Grand Junction, CO        | Allegiant Air                                           |   1318
 Liberal, KS                  | Dodge City, KS     | Denver, CO                | Peninsula Airways Inc.                                  |    660
 Lihue, HI                    | Lihue, HI          | Denver, CO                | United Air Lines Inc.                                   |   1200
 Lincoln, NE                  | Scottsbluff, NE    | Denver, CO                | SkyWest Airlines Inc.                                   |   2940
 Lincoln, NE                  | Scottsbluff, NE    | Denver, CO                | Trans States Airlines                                   |   4216
 Little Rock, AR              | Little Rock, AR    | Denver, CO                | SkyWest Airlines Inc.                                   |   3826
 Little Rock, AR              | Little Rock, AR    | Denver, CO                | Trans States Airlines                                   |    800
 Long Beach, CA               | Long Beach, CA     | Aspen, CO                 | SkyWest Airlines Inc.                                   |   4408
 Long Beach, CA               | Long Beach, CA     | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   1650
 Long Beach, CA               | Long Beach, CA     | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |   3702
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | American Airlines Inc.                                  |  11742
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | Frontier Airlines Inc.                                  |  24370
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | JetBlue Airways                                         |    150
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |  26330
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | Southwest Airlines Co.                                  | 154476
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | Spirit Air Lines                                        |  10620
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | United Air Lines Inc.                                   | 125662
 Long Beach, CA               | Long Beach, CA     | Denver, CO                | United Parcel Service                                   |    150
 Long Beach, CA               | Long Beach, CA     | Durango, CO               | SkyWest Airlines Inc.                                   |    200
 Long Beach, CA               | Long Beach, CA     | Eagle, CO                 | Avjet Corporation                                       |     16
 Long Beach, CA               | Long Beach, CA     | Grand Junction, CO        | Allegiant Air                                           |   1494
 Long Beach, CA               | Long Beach, CA     | Grand Junction, CO        | Compass Airlines                                        |    304
 Long Beach, CA               | Long Beach, CA     | Grand Junction, CO        | SkyWest Airlines Inc.                                   |    150
 Los Angeles, CA              | Long Beach, CA     | Aspen, CO                 | SkyWest Airlines Inc.                                   |   4408
 Los Angeles, CA              | Long Beach, CA     | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   1650
 Los Angeles, CA              | Long Beach, CA     | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |   3702
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | American Airlines Inc.                                  |  11742
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | Frontier Airlines Inc.                                  |  24370
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | JetBlue Airways                                         |    150
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |  26330
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | Southwest Airlines Co.                                  | 154476
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | Spirit Air Lines                                        |  10620
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | United Air Lines Inc.                                   | 125662
 Los Angeles, CA              | Long Beach, CA     | Denver, CO                | United Parcel Service                                   |    150
 Los Angeles, CA              | Long Beach, CA     | Durango, CO               | SkyWest Airlines Inc.                                   |    200
 Los Angeles, CA              | Long Beach, CA     | Eagle, CO                 | Avjet Corporation                                       |     16
 Los Angeles, CA              | Long Beach, CA     | Grand Junction, CO        | Allegiant Air                                           |   1494
 Los Angeles, CA              | Long Beach, CA     | Grand Junction, CO        | Compass Airlines                                        |    304
 Los Angeles, CA              | Long Beach, CA     | Grand Junction, CO        | SkyWest Airlines Inc.                                   |    150
 Louisville, KY               | Cincinnati, OH     | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    210
 Louisville, KY               | Cincinnati, OH     | Denver, CO                | Republic Airlines                                       |   1749
 Louisville, KY               | Cincinnati, OH     | Denver, CO                | Southwest Airlines Co.                                  |  10910
 Louisville, KY               | Cincinnati, OH     | Denver, CO                | Trans States Airlines                                   |   1550
 Louisville, KY               | Cincinnati, OH     | Denver, CO                | United Parcel Service                                   |   7950
 Lubbock, TX                  | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |    209
 Lubbock, TX                  | Dallas, TX         | Denver, CO                | Trans States Airlines                                   |   2800
 Madison, WI                  | Madison, WI        | Denver, CO                | Frontier Airlines Inc.                                  |   3060
 Madison, WI                  | Madison, WI        | Denver, CO                | United Air Lines Inc.                                   |  19276
 McCook, NE                   | Scottsbluff, NE    | Denver, CO                | Boutique Air                                            |    416
 Medford, OR                  | Medford, OR        | Denver, CO                | SkyWest Airlines Inc.                                   |   2448
 Medford, OR                  | Medford, OR        | Denver, CO                | United Air Lines Inc.                                   |   6636
 Memphis, TN                  | Knoxville, TN      | Colorado Springs, CO      | Federal Express Corporation                             |      0
 Memphis, TN                  | Knoxville, TN      | Denver, CO                | Federal Express Corporation                             |   5940
 Memphis, TN                  | Knoxville, TN      | Denver, CO                | Frontier Airlines Inc.                                  |   4500
 Memphis, TN                  | Knoxville, TN      | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |      0
 Memphis, TN                  | Knoxville, TN      | Denver, CO                | Republic Airlines                                       |   2872
 Memphis, TN                  | Knoxville, TN      | Denver, CO                | SkyWest Airlines Inc.                                   |    806
 Memphis, TN                  | Knoxville, TN      | Grand Junction, CO        | Federal Express Corporation                             |      0
 Miami, FL                    | Orlando, FL        | Denver, CO                | American Airlines Inc.                                  |  14080
 Miami, FL                    | Orlando, FL        | Denver, CO                | Frontier Airlines Inc.                                  |   6900
 Miami, FL                    | Orlando, FL        | Denver, CO                | Southwest Airlines Co.                                  |  11726
 Miami, FL                    | Orlando, FL        | Denver, CO                | Spirit Air Lines                                        |   6384
 Miami, FL                    | Orlando, FL        | Denver, CO                | United Air Lines Inc.                                   |  25050
 Midland/Odessa, TX           | Dallas, TX         | Denver, CO                | Republic Airlines                                       |   1609
 Midland/Odessa, TX           | Dallas, TX         | Denver, CO                | SkyWest Airlines Inc.                                   |   2590
 Milwaukee, WI                | Madison, WI        | Denver, CO                | Frontier Airlines Inc.                                  |   5400
 Milwaukee, WI                | Madison, WI        | Denver, CO                | Southwest Airlines Co.                                  |  35830
 Milwaukee, WI                | Madison, WI        | Denver, CO                | United Air Lines Inc.                                   |  17700
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | Delta Air Lines Inc.                                    |  27027
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | Frontier Airlines Inc.                                  |   8698
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    420
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | Republic Airlines                                       |    228
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | SkyWest Airlines Inc.                                   |    304
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | Southwest Airlines Co.                                  |  41760
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | Spirit Air Lines                                        |   5220
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | Sun Country Airlines d/b/a MN Airlines                  |   4453
 Minneapolis, MN              | Minneapolis, MN    | Denver, CO                | United Air Lines Inc.                                   |  34516
 Minot, ND                    | Dickinson, ND      | Denver, CO                | SkyWest Airlines Inc.                                   |   3170
 Missoula, MT                 | Missoula, MT       | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |     50
 Missoula, MT                 | Missoula, MT       | Denver, CO                | Frontier Airlines Inc.                                  |   2580
 Missoula, MT                 | Missoula, MT       | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   2030
 Missoula, MT                 | Missoula, MT       | Denver, CO                | SkyWest Airlines Inc.                                   |   7560
 Missoula, MT                 | Missoula, MT       | Denver, CO                | Trans States Airlines                                   |   2750
 Moab, UT                     | Salt Lake City, UT | Denver, CO                | Boutique Air                                            |   2800
 Moline, IL                   | Chicago, IL        | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    210
 Moline, IL                   | Chicago, IL        | Denver, CO                | SkyWest Airlines Inc.                                   |    909
 Moline, IL                   | Chicago, IL        | Denver, CO                | Trans States Airlines                                   |   6475
 Nashville, TN                | Knoxville, TN      | Denver, CO                | Frontier Airlines Inc.                                  |   3570
 Nashville, TN                | Knoxville, TN      | Denver, CO                | Republic Airlines                                       |   1400
 Nashville, TN                | Knoxville, TN      | Denver, CO                | SkyWest Airlines Inc.                                   |   3640
 Nashville, TN                | Knoxville, TN      | Denver, CO                | Southwest Airlines Co.                                  |  48620
 New Orleans, LA              | New Orleans, LA    | Denver, CO                | Frontier Airlines Inc.                                  |   5400
 New Orleans, LA              | New Orleans, LA    | Denver, CO                | Republic Airlines                                       |    210
 New Orleans, LA              | New Orleans, LA    | Denver, CO                | Southwest Airlines Co.                                  |  20394
 New Orleans, LA              | New Orleans, LA    | Denver, CO                | United Air Lines Inc.                                   |  15700
 New York, NY                 | Rochester, NY      | Denver, CO                | Delta Air Lines Inc.                                    |  15081
 New York, NY                 | Rochester, NY      | Denver, CO                | Frontier Airlines Inc.                                  |   6900
 New York, NY                 | Rochester, NY      | Denver, CO                | JetBlue Airways                                         |   8350
 New York, NY                 | Rochester, NY      | Denver, CO                | Southwest Airlines Co.                                  |  51470
 New York, NY                 | Rochester, NY      | Denver, CO                | United Air Lines Inc.                                   | 104726
 Newark, NJ                   | Newark, NJ         | Denver, CO                | Delta Air Lines Inc.                                    |  15081
 Newark, NJ                   | Newark, NJ         | Denver, CO                | Frontier Airlines Inc.                                  |   6900
 Newark, NJ                   | Newark, NJ         | Denver, CO                | JetBlue Airways                                         |   8350
 Newark, NJ                   | Newark, NJ         | Denver, CO                | Southwest Airlines Co.                                  |  51470
 Newark, NJ                   | Newark, NJ         | Denver, CO                | United Air Lines Inc.                                   | 104726
 Norfolk, VA                  | Washington, DC     | Denver, CO                | Southwest Airlines Co.                                  |   2002
 North Bend/Coos Bay, OR      | Medford, OR        | Denver, CO                | SkyWest Airlines Inc.                                   |    420
 North Platte, NE             | Scottsbluff, NE    | Denver, CO                | Peninsula Airways Inc.                                  |   1440
 Oakland, CA                  | Long Beach, CA     | Aspen, CO                 | SkyWest Airlines Inc.                                   |   1150
 Oakland, CA                  | Long Beach, CA     | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   1200
 Oakland, CA                  | Long Beach, CA     | Colorado Springs, CO      | Miami Air International                                 |    173
 Oakland, CA                  | Long Beach, CA     | Colorado Springs, CO      | Southwest Airlines Co.                                  |    286
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | American Airlines Inc.                                  |    187
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | Delta Air Lines Inc.                                    |    144
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | Federal Express Corporation                             |   1950
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | Frontier Airlines Inc.                                  |  13800
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |   3496
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | Southwest Airlines Co.                                  |  95070
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | United Air Lines Inc.                                   | 115580
 Oakland, CA                  | Long Beach, CA     | Denver, CO                | Virgin America                                          |  12560
 Oklahoma City, OK            | Oklahoma City, OK  | Denver, CO                | Delta Air Lines Inc.                                    |    158
 Oklahoma City, OK            | Oklahoma City, OK  | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   1820
 Oklahoma City, OK            | Oklahoma City, OK  | Denver, CO                | Republic Airlines                                       |    152
 Oklahoma City, OK            | Oklahoma City, OK  | Denver, CO                | SkyWest Airlines Inc.                                   |   4042
 Oklahoma City, OK            | Oklahoma City, OK  | Denver, CO                | Southwest Airlines Co.                                  |  30476
 Oklahoma City, OK            | Oklahoma City, OK  | Denver, CO                | United Air Lines Inc.                                   |  15478
 Omaha, NE                    | Scottsbluff, NE    | Denver, CO                | Frontier Airlines Inc.                                  |   5400
 Omaha, NE                    | Scottsbluff, NE    | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   1890
 Omaha, NE                    | Scottsbluff, NE    | Denver, CO                | Republic Airlines                                       |    210
 Omaha, NE                    | Scottsbluff, NE    | Denver, CO                | SkyWest Airlines Inc.                                   |   1604
 Omaha, NE                    | Scottsbluff, NE    | Denver, CO                | Southwest Airlines Co.                                  |  25168
 Omaha, NE                    | Scottsbluff, NE    | Denver, CO                | United Air Lines Inc.                                   |  25754
 Ontario, CA                  | Long Beach, CA     | Aspen, CO                 | SkyWest Airlines Inc.                                   |   4408
 Ontario, CA                  | Long Beach, CA     | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   1650
 Ontario, CA                  | Long Beach, CA     | Colorado Springs, CO      | SkyWest Airlines Inc.                                   |   3702
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | American Airlines Inc.                                  |  11742
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | Frontier Airlines Inc.                                  |  24370
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | JetBlue Airways                                         |    150
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |  26330
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | Southwest Airlines Co.                                  | 154476
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | Spirit Air Lines                                        |  10620
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | United Air Lines Inc.                                   | 125662
 Ontario, CA                  | Long Beach, CA     | Denver, CO                | United Parcel Service                                   |    150
 Ontario, CA                  | Long Beach, CA     | Durango, CO               | SkyWest Airlines Inc.                                   |    200
 Ontario, CA                  | Long Beach, CA     | Eagle, CO                 | Avjet Corporation                                       |     16
 Ontario, CA                  | Long Beach, CA     | Grand Junction, CO        | Allegiant Air                                           |   1494
 Ontario, CA                  | Long Beach, CA     | Grand Junction, CO        | Compass Airlines                                        |    304
 Ontario, CA                  | Long Beach, CA     | Grand Junction, CO        | SkyWest Airlines Inc.                                   |    150
 Orlando, FL                  | Orlando, FL        | Colorado Springs, CO      | Frontier Airlines Inc.                                  |   5400
 Orlando, FL                  | Orlando, FL        | Denver, CO                | American Airlines Inc.                                  |    181
 Orlando, FL                  | Orlando, FL        | Denver, CO                | Frontier Airlines Inc.                                  |  10950
 Orlando, FL                  | Orlando, FL        | Denver, CO                | Southwest Airlines Co.                                  |  19182
 Orlando, FL                  | Orlando, FL        | Denver, CO                | United Air Lines Inc.                                   |  27572
 Palm Springs, CA             | Long Beach, CA     | Denver, CO                | SkyWest Airlines Inc.                                   |   3470
 Palm Springs, CA             | Long Beach, CA     | Denver, CO                | United Air Lines Inc.                                   |   4680
