
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
 Hayden, CO                | Denver, CO | HDN     | Trans States Airlines                                   |     400
 Montrose/Delta, CO        | Denver, CO | MTJ     | Trans States Airlines                                   |    1300
 Denver, CO                | Denver, CO | DEN     | United Air Lines Inc.                                   | 1448378
 Denver, CO                | Denver, CO | DEN     | United Parcel Service                                   |    2360
 Pueblo, CO                | Denver, CO | PUB     | USA Jet Airlines Inc.                                   |       0
 Denver, CO                | Denver, CO | DEN     | Via Airlines d/b/a Charter Air Transport                |     450
 Denver, CO                | Denver, CO | DEN     | Virgin America                                          |   12417
(82 rows)

2) 

    city_name         | state_name | airport |                   unique_carrier_name                   |   sum
---------------------------+------------+---------+---------------------------------------------------------+---------
 Denver, CO                | Denver, CO | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |    2351
 Eagle, CO                 | Denver, CO | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |      22
 Colorado Springs, CO      | Denver, CO | COS     | Alaska Airlines Inc.                                    |     156
 Denver, CO                | Denver, CO | DEN     | Alaska Airlines Inc.                                    |   21076
 Colorado Springs, CO      | Denver, CO | COS     | Allegiant Air                                           |    2712
 Denver, CO                | Denver, CO | DEN     | Allegiant Air                                           |    1874
 Grand Junction, CO        | Denver, CO | GJT     | Allegiant Air                                           |    1632
 Colorado Springs, CO      | Denver, CO | COS     | American Airlines Inc.                                  |   16032
 Denver, CO                | Denver, CO | DEN     | American Airlines Inc.                                  |  116352
 Eagle, CO                 | Denver, CO | EGE     | American Airlines Inc.                                  |    3163
 Denver, CO                | Denver, CO | DEN     | Ameristar Air Cargo                                     |       0
 Aspen, CO                 | Denver, CO | ASE     | Avjet Corporation                                       |       3
 Eagle, CO                 | Denver, CO | EGE     | Avjet Corporation                                       |       3
 Alamosa, CO               | Denver, CO | ALS     | Boutique Air                                            |   12067
 Cortez, CO                | Denver, CO | CEZ     | Boutique Air                                            |    1133
 Denver, CO                | Denver, CO | DEN     | Boutique Air                                            |   10152
 Denver, CO                | Denver, CO | DEN     | CFM Inc d/b/a Contour Airlines                          |      14
 Grand Junction, CO        | Denver, CO | GJT     | Compass Airlines                                        |       0
 Colorado Springs, CO      | Denver, CO | COS     | Delta Air Lines Inc.                                    |    4571
 Denver, CO                | Denver, CO | DEN     | Delta Air Lines Inc.                                    |   95537
 Durango, CO               | Denver, CO | DRO     | Empire Airlines Inc.                                    |    3592
 Denver, CO                | Denver, CO | DEN     | Endeavor Air Inc.                                       |     143
 Grand Junction, CO        | Denver, CO | GJT     | Envoy Air                                               |    5087
 Montrose/Delta, CO        | Denver, CO | MTJ     | Envoy Air                                               |     202
 Colorado Springs, CO      | Denver, CO | COS     | ExpressJet Airlines Inc.                                |    1132
 Denver, CO                | Denver, CO | DEN     | ExpressJet Airlines Inc.                                |      47
 Montrose/Delta, CO        | Denver, CO | MTJ     | ExpressJet Airlines Inc.                                |    1096
