AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE,RAMP_TO_RAMP,AIR_TIME,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
19393,11109,11292,73,34,19,0,1,43400,175,120,0,0,2017,2,6,1,F
21652,10325,10423,764,144,132,0,1,1600,8,1,0,0,2017,2,6,2,L
21652,10325,13930,903,150,132,0,1,1600,8,0,0,0,2017,2,6,2,L
21652,10325,14831,937,144,126,0,1,2400,12,1,0,0,2017,2,6,2,L
21652,10423,10325,764,120,102,0,1,1600,8,1,0,0,2017,2,6,2,L
21652,11066,10325,1166,174,162,0,1,2400,12,0,0,0,2017,2,6,3,L
21652,14792,10372,919,144,132,0,1,1600,8,6,0,0,2017,2,6,2,L
20377,11292,12889,628,120,90,0,1,68370,218,0,0,0,2017,2,6,2,L
21161,10466,11292,595,195,161,0,2,151660,358,30,0,0,2017,2,6,2,L
21161,10747,11292,1049,162,151,0,1,75830,179,15,0,0,2017,2,6,3,L
21161,11292,13796,957,155,132,0,1,75830,179,21,0,0,2017,2,6,2,L
21161,11292,14275,1120,157,142,0,1,75830,179,0,0,0,2017,2,6,3,L
21161,11292,14869,391,266,186,0,3,227490,537,45,0,0,2017,2,6,1,L
21161,11563,11921,312,58,41,0,1,75830,179,138,0,0,2017,2,6,1,L
21161,11921,11563,312,67,49,0,1,75830,179,138,0,0,2017,2,6,1,L
21161,14576,11292,1413,210,196,0,1,75830,179,0,0,0,2017,2,6,3,L
21161,15370,11292,541,92,82,0,1,75830,179,20,0,0,2017,2,6,2,L
20372,11292,13796,957,145,125,0,1,23000,0,0,8878,0,2017,2,6,2,P
20372,11376,11292,870,140,120,0,1,23000,0,0,8878,0,2017,2,6,2,P
21635,11292,13342,896,129,110,0,1,12343,16,14,0,0,2017,2,6,2,L
21635,14570,11292,804,124,106,0,1,12343,16,13,0,0,2017,2,6,2,L
20422,11292,10590,632,473,369,0,2,82501,324,286,0,0,2017,2,6,2,L
20422,11719,10590,637,124,102,0,1,43411,162,149,0,0,2017,2,6,2,L
20422,10590,11292,632,213,175,0,1,43116,162,129,0,0,2017,2,6,2,L
20422,10590,11719,637,208,175,0,1,43116,162,148,0,0,2017,2,6,2,L
20422,10590,13502,436,209,179,0,1,43411,162,93,0,0,2017,2,6,1,L
